Event,Fit,Age,Height,Weight,Country,Previously Placed
Gymnastics Women's Balance Beam,0.9792387543252595,0.23654185584182388,0.16720061437950326,0.0670809369117738,0.45080860858562866,0.0783679842812703
Athletics Men's Hammer Throw,0.8699186991869918,0.23931173786716423,0.1188516472786256,0.13339527101381463,0.43149995818667525,0.07694138565372037
Volleyball Men's Volleyball,0.7647058823529411,0.21409576383613943,0.1288805491342082,0.06906694110870096,0.5190141090007943,0.06894263692015704
Athletics Women's Shot Put,0.8481012658227848,0.2112115628153078,0.11757129997843771,0.14330205211515895,0.47896735415628106,0.048947730934814485
Athletics Women's 400 metres,0.9166666666666666,0.25557709488801944,0.11753650610187913,0.06594569930679066,0.46200950690144615,0.09893119280186465
Swimming Women's 100 metres Butterfly,0.936,0.25610744833384097,0.13516539346998074,0.06946971422601973,0.4785851409615127,0.06067230300864588
Swimming Women's 4 x 100 metres Medley Relay,0.8369098712446352,0.11581234374979746,0.05591191265001549,0.05261419870006075,0.7389280664403983,0.036733478459727985
Athletics Men's 100 metres,0.9085545722713865,0.21660778776677123,0.09953376138624105,0.06135213616774551,0.5775248808160415,0.04498143386320074
Athletics Men's 4 x 100 metres Relay,0.843501326259947,0.1987946737353398,0.10628516196186114,0.05232973193300113,0.6083837176336601,0.03420671473613788
Swimming Men's 50 metres Freestyle,0.976,0.2027333572115479,0.09946820391723027,0.05035868506681116,0.5174653791653563,0.12997437463905442
Swimming Men's 4 x 100 metres Freestyle Relay,0.8514851485148515,0.13887549382436493,0.08358785897738776,0.04994849459668543,0.6410732336424269,0.08651491895913505
Athletics Men's Marathon,0.9588688946015425,0.20860082444631392,0.10678160505612024,0.05272767201288356,0.6029658121742025,0.02892408631047987
Water Polo Men's Water Polo,0.8436213991769548,0.15842116053357524,0.08736177880564443,0.05463271592021988,0.6079124707479029,0.09167187399265753
Athletics Men's High Jump,0.8355263157894737,0.23579874224211525,0.13347321898792153,0.07409923055741958,0.4884523780349031,0.0681764301776405
Athletics Men's 50 kilometres Walk,0.9197530864197531,0.25593084272029687,0.08782560871414587,0.08330558643347233,0.4567297544272261,0.11620820770485896
Hockey Women's Hockey,0.7710843373493976,0.1739700796210951,0.08518055582641049,0.03624554807728678,0.6571715330244233,0.04743228345078428
"Shooting Men's Air Rifle, 10 metres",0.9191919191919192,0.28035484810650657,0.09062502581124923,0.10185707810215412,0.48370548196905166,0.04345756601103849
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0.9236641221374046,0.3135674747391113,0.11411390925029652,0.05465851524036021,0.4622515974713481,0.055408503298884006
Weightlifting Men's Middleweight,0.8405797101449275,0.24059010996764094,0.07193065242334502,0.013387343073920498,0.5935270973510557,0.08056479718403782
Weightlifting Men's Light-Heavyweight,0.7671232876712328,0.23248465597728843,0.0760742606635793,0.058539541260733956,0.5151854720023727,0.11771607009602562
"Shooting Women's Sporting Pistol, 25 metres",0.9125,0.338977750030428,0.09450195664784601,0.08495931744472228,0.4239570496337196,0.05760392624328405
